transaction_id,user_id,timestamp,amount,merchant,category,is_fraud,hour,day_of_week,is_night,is_weekend,amount_log,cust_tx_count,cust_mean_amt,cust_std_amt,amt_vs_cust_mean,amt_zscore,merchant_tx_count
TXN_068529F5,USR_A5EECF63E226,2024-06-20 17:40:37,1102.68,Meralco,bills,0,17,3,0,0,7.0064053297484765,15,1119.6973333333333,27.77620627872164,0.9848018452596851,-0.6126586605081824,2504
TXN_ACA02329,USR_182B087E69DF,2024-06-24 18:14:25,610.35,Puregold,grocery,0,18,0,0,0,6.415669626590199,15,638.5006666666667,204.31889334590485,0.9559112963584128,-0.13777808897423294,3321
TXN_64175344,USR_808A1D723D95,2024-06-08 22:24:01,106.57,Watsons,pharmacy,0,22,5,0,1,4.678141798443914,21,184.4952380952381,109.14358169947731,0.5776300846551388,-0.7139699548168422,4579
TXN_C21986AF,USR_B6B9EF3F5024,2024-06-18 10:44:41,558.5,Watsons,pharmacy,0,10,1,0,0,6.32704352775198,24,562.8775,83.53924114372577,0.9922229970091321,-0.05240052387376069,4579
TXN_B023EA59,USR_6B7E4442630A,2024-06-03 18:53:02,685.38,LBC Remittance,remittance,0,18,0,0,0,6.531431410220109,15,793.5133333333334,733.1720566110237,0.8637283977574032,-0.14748698120467907,3233
TXN_026DEC0A,USR_FB615DE4D671,2024-06-04 13:26:50,35.76,LBC Remittance,remittance,0,13,1,0,0,3.6044102974874863,19,131.75052631578947,61.92758418540914,0.27142206562436305,-1.5500447430154385,3233
TXN_D902F958,USR_A6066F1641A1,2024-06-09 13:01:03,572.9,Netflix PH,entertainment,0,13,6,0,1,6.352455165114317,18,545.5688888888889,32.473515523538836,1.0500965353169676,0.8416431257791652,3499
TXN_4DEE0BCC,USR_3B2C3161D03A,2024-06-13 11:56:35,10.0,Angkas,transport,0,11,3,0,0,2.3978952727983707,19,327.07894736842104,377.7625440213694,0.030573658379502634,-0.8393604723014705,3305
TXN_930C59A1,USR_015903CD07C7,2024-06-01 16:04:29,84.45,Watsons,pharmacy,0,16,5,0,1,4.4479314095616,23,195.70173913043476,99.6623582015421,0.4315240139142696,-1.1162864409082087,4579
TXN_98CE2126,USR_34FE12EE80EF,2024-06-01 14:51:29,676.02,Puregold,grocery,0,14,5,0,1,6.517700814573405,28,607.9621428571428,73.65219321655306,1.1119442352477813,0.9240438630500604,3321
TXN_D34BC227,USR_2D4F6E6FB836,2024-06-26 12:38:12,183.14,Chowking,food,0,12,2,0,0,5.2156963378597,22,126.77545454545454,56.53041058768387,1.4446014069142359,0.9970659131534485,2601
TXN_90993080,USR_349CAE2AD6F8,2024-06-03 10:59:56,1727.32,Spotify PH,entertainment,0,10,0,0,0,7.454905117404526,27,1668.4222222222222,73.54701825955824,1.0353014824378775,0.8008180232285962,3339
TXN_71B0173E,USR_74D061B410F8,2024-06-06 08:39:01,247.85,Bench,retail,0,8,3,0,0,5.516850305304563,23,346.97043478260866,84.22810994168057,0.7143259919381142,-1.1768094386786396,3159
TXN_AA139A6A,USR_35491B736320,2024-06-19 11:21:54,1015.4,Grab,transport,0,11,2,0,0,6.924022251446009,22,1070.3727272727274,131.4610325454736,0.9486415097535746,-0.4181674691570193,3264
TXN_E23938C2,USR_1BBB23D8D0B2,2024-06-22 17:33:19,425.58,Netflix PH,entertainment,0,17,5,0,1,6.055799922612876,22,390.48954545454546,48.83450784974092,1.0898627247587844,0.718558578550764,3499
TXN_7DAC31AD,USR_7E8DC8F23BD4,2024-06-04 08:14:36,220.27,PLDT,bills,0,8,1,0,0,5.39938367528284,26,193.85000000000002,157.25666485081004,1.1362909466023405,0.1680055978860847,2509
TXN_63599CC8,USR_5064144CAC5B,2024-06-01 15:15:58,221.36,Maynilad,bills,0,15,5,0,1,5.404297690085269,24,283.87958333333336,62.2179884850289,0.7797672428569751,-1.0048473898729815,2487
TXN_041FFA4B,USR_1190C8E8B774,2024-06-13 14:13:46,195.84,Uniqlo,retail,0,14,3,0,0,5.2823912159977775,28,217.9664285714286,135.62930509881448,0.8984869884901742,-0.16313899533102347,3108
TXN_0C58B367,USR_17673CC86AC9,2024-06-15 13:15:06,307.88,PLDT,bills,0,13,5,0,1,5.7329528519559805,13,354.4353846153846,58.80655882005349,0.868649162479156,-0.7916699352711856,2509
TXN_64945943,USR_5A239ABA36FE,2024-06-09 18:58:09,1035.3,Netflix PH,entertainment,0,18,6,0,1,6.943411956190172,22,710.9695454545455,152.87252297498048,1.4561805166164234,2.121574552651386,3499
TXN_B847E52C,USR_5082EEF469C6,2024-06-28 15:52:22,580.36,Bench,retail,0,15,4,0,0,6.365370186308381,11,339.6790909090909,161.51336052813375,1.708553795422205,1.4901609891739893,3159
TXN_F253E530,USR_CD126D364C88,2024-06-22 11:55:30,822.81,H&M,retail,0,11,5,0,1,6.713939920796962,21,698.7933333333333,209.13913615900142,1.1774725956155219,0.5929864153775025,3096
TXN_FD529283,USR_52CA9F2C4522,2024-06-07 12:17:36,2302.03,KFC,food,0,12,4,0,0,7.741980926223032,27,2245.1814814814816,48.656199913561785,1.0253202331243094,1.1683715254858007,2506
TXN_07CEAD46,USR_51ABED56F12F,2024-06-02 12:28:59,556.73,PLDT,bills,0,12,6,0,1,6.323874974310235,16,557.2775,53.944869326625174,0.9990175451171113,-0.010149250648377024,2509
TXN_2D1FF265,USR_86CBB763649C,2024-06-27 22:55:14,1015.57,H&M,retail,0,22,3,0,0,6.9241894944455575,20,934.0944999999999,111.6033315138934,1.087224044247036,0.7300454107781474,3096
TXN_05B364D2,USR_234BB41B24B5,2024-06-11 09:24:08,290.31,Lazada,ecommerce,0,9,1,0,0,5.674387992246747,18,190.01555555555558,84.53239895568217,1.5278222835476918,1.186461589666222,3486
TXN_8D838287,USR_039655611F60,2024-06-13 12:48:16,129.05,YouTube Premium,entertainment,0,12,3,0,0,4.867918991894661,20,398.2255,453.40744103283896,0.3240626228096291,-0.5936724359579064,3389
TXN_06D61608,USR_DE2893B8E7A9,2024-06-10 14:00:06,721.65,H&M,retail,0,14,0,0,0,6.582925010894851,17,786.4429411764706,139.4937850660696,0.9176126610273061,-0.46448622170025544,3096
TXN_659E1B5B,USR_EFF8FF4E29C2,2024-06-05 13:16:42,10.0,Puregold,grocery,0,13,2,0,0,2.3978952727983707,16,224.760625,161.38176582124555,0.04449177875330925,-1.330761402354147,3321
TXN_B618BDC7,USR_15BB8BFEBE4D,2024-06-19 16:25:47,372.04,Zalora PH,ecommerce,0,16,2,0,0,5.921685652500066,20,414.84700000000004,196.45863724565805,0.8968125598090457,-0.21789319421092648,3467
TXN_F8846415,USR_CF7E784ECDD7,2024-06-01 18:03:21,252.28,JoyRide,transport,0,18,5,0,1,5.534495596132702,24,221.3658333333333,44.31574466667934,1.1396519336341142,0.6975887892325822,3308
TXN_5FD020A1,USR_C88A2CB49D14,2024-06-27 11:50:50,529.0,Puregold,grocery,0,11,3,0,0,6.272877006546167,20,475.97200000000004,48.67674810744642,1.1114099148666068,1.089390767884893,3321
TXN_837779A5,USR_3DB7F0167AB1,2024-06-03 19:04:26,410.39,Mercury Drug,pharmacy,0,19,0,0,0,6.019541669679873,20,340.786,54.012349114273,1.204245479564289,1.2886682608721818,4580
TXN_8E68DB6E,USR_2081F336942E,2024-06-17 23:39:40,771.76,Shopee,ecommerce,0,23,0,0,0,6.649968521724353,18,814.6572222222222,84.026309941698,0.947343224790723,-0.5105213147105487,3611
TXN_FBA9EADC,USR_8324A58A9685,2024-06-17 19:47:35,280.51,LBC Remittance,remittance,0,19,0,0,0,5.640167970927469,16,477.221875,108.5498341603984,0.5877978665571695,-1.8121803365219056,3233
TXN_A88CE92E,USR_B2FF1F933D6A,2024-06-20 14:53:36,402.17,KFC,food,0,14,3,0,0,5.999358309227082,17,425.5382352941176,47.8596367301422,0.945085462698995,-0.48826603982373984,2506
TXN_8D103479,USR_C2A5A1DD0439,2024-06-07 12:43:59,862.04,Seaoil,fuel,0,12,4,0,0,6.760461039951365,19,907.1647368421053,81.46720883401298,0.9502573953655458,-0.5539006121283933,2597
TXN_804E6287,USR_98F3C7012D65,2024-06-21 17:40:15,390.76,Mercury Drug,pharmacy,0,17,4,0,0,5.9706494073940615,18,410.3666666666666,79.79972069831706,0.9522215904452469,-0.24569843722315712,4580
TXN_B30C7EA0,USR_B0771E409AA0,2024-06-20 23:26:04,827.77,Angkas,transport,0,23,3,0,0,6.719942673938898,20,769.145,115.18783221101815,1.0762209986399494,0.5089513264916131,3305
TXN_43A3E801,USR_761EEECFECE7,2024-06-07 01:01:26,1600.57,Palawan Pawnshop,remittance,1,1,4,1,0,7.378739677116792,20,1063.92,1135.0766773960345,1.5044082261810057,0.47278744307446197,3294
TXN_FF542CA2,USR_7BAAE62DDC1E,2024-06-21 16:04:40,314.09,SM Supermarket,grocery,0,16,4,0,0,5.752858312302793,22,248.01227272727272,98.84341820859987,1.266429263942609,0.6685091275638387,3355
